model,variable,moderator_value,slope,SE,df,lower_ci,upper_ci,p.value
EP_HPMSy,Zestr_ww,0,0.04733389587927959,0.01315668708662462,584.6841198584318,0.021493772883761118,0.07317401887479806,3.482204660498212e-4
EP_HPMSy,Zestr_ww,1,0.02414983060235071,0.018516247287364843,596.2748145379672,-0.012215161062910821,0.06051482226761225,0.19265129830591704
EP_PRCP,Zprc_stirn_ww,-1,0.09597237309248982,0.01463783185676035,481.9188244646355,0.06721051610073453,0.12473423008424511,1.421096259952284e-10
EP_PRCP,Zprc_stirn_ww,0,0.0625115295480732,0.01043441003898155,494.9560092825091,0.04201033022218652,0.08301272887395987,4.018980310474313e-9
EP_PRCP,Zprc_stirn_ww,1,0.029050686003656574,0.014570703462309122,485.43290996980966,4.2125129270195044e-4,0.0576801207146112,0.04673583605255143
EP_HP,Zprog_ww,-1,-0.1211140044630585,0.017629522592934283,471.3207703018121,-0.15575619188081116,-0.08647181704530585,2.039235173784281e-11
EP_HP,Zprog_ww,0,-0.07715914689822637,0.012513524275420063,474.7718281849279,-0.10174788655670305,-0.052570407239749685,1.4984321530901973e-9
EP_HP,Zprog_ww,1,-0.03320428933339423,0.017590860018096184,475.6936331984344,-0.0677696864002735,0.0013611077334850438,0.05968979374359274
EP_HP,Zestr_ww,-1,0.07345004948075518,0.01851711579253332,589.3757169546924,0.03708248627955538,0.10981761268195497,8.18769515861333e-5
EP_HP,Zestr_ww,0,0.04969333148309427,0.013103913885631997,587.4630997592628,0.02395710914674338,0.07542955381944516,1.6472907461822305e-4
EP_HP,Zestr_ww,1,0.025936613485433364,0.018521983895720216,601.914621870787,-0.0104389513914845,0.06231217836235123,0.16193423515164346
EP_PRCPSMs1,Zprc_stirn_ww,-1,0.10927622465706219,0.019211776045130104,241.0242329120542,0.07143180746174035,0.14712064185238402,3.708684270385923e-8
EP_PRCPSMs1,Zprc_stirn_ww,0,0.06182915503169262,0.014240038832691043,243.66872243898393,0.03377987641923981,0.08987843364414543,2.072395357248326e-5
EP_PRCPSMs1,Zprc_stirn_ww,1,0.014382085406323047,0.021281661952567206,241.67436522750828,-0.02753913826487759,0.056303309077523685,0.4998156250580721
EP_HPSMs1,Zprog_ww,-1,-0.12310721400503737,0.0225067407106659,240.27841254987428,-0.1674429289610526,-0.07877149904902214,1.1288430316357787e-7
